rank,uid,username,type
1,343891160,Jezza,舰长
2,2997664,Anemone海葵葵,舰长
3,1177572366,Tonyowo,舰长
4,8334609,浅弑丶,舰长
5,249162850,瑞瑞6860,舰长
6,482040433,娇妮噗噗,舰长
7,452140556,小蓝voi,舰长
8,198340846,是猫不是桃,舰长
9,8064015,四宫祐椛,舰长
10,418104348,天空上的星,舰长
11,251125135,慕ki慕ki,舰长
12,504839844,霹雳火焰1,舰长
13,6510909,彩色熊猫Aowu,舰长
14,399646641,搬不动砖了,舰长
15,272039577,蚂蚁座的菜刀,舰长
16,45134244,Ray丶路人,舰长
